Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Albania,ALB,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.95
Albania,ALB,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.42
Albania,ALB,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.51
Albania,ALB,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.58
Albania,ALB,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.26
Albania,ALB,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.84
Albania,ALB,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.7
Albania,ALB,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.08
Albania,ALB,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,26.56
Albania,ALB,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.4
Albania,ALB,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.2
Albania,ALB,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.98
Albania,ALB,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.89
Albania,ALB,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.57
Albania,ALB,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.47
Albania,ALB,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.39
Albania,ALB,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.75
Albania,ALB,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.11
Albania,ALB,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.83
Albania,ALB,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.7
Albania,ALB,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.24
Albania,ALB,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,29.81
Albania,ALB,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.39
Albania,ALB,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.07
Albania,ALB,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.71
Albania,ALB,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.97
Albania,ALB,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.29
Albania,ALB,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.4
Albania,ALB,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,27.78
Albania,ALB,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,33.86
Albania,ALB,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,41.88
Albania,ALB,1965,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.82
Albania,ALB,1960,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,41.56
Albania,ALB,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.28
Albania,ALB,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.35
Albania,ALB,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.27
Albania,ALB,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.57
Albania,ALB,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.91
Albania,ALB,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.66
Albania,ALB,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.54
Albania,ALB,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,30.72
